,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
206,DTM,DART MINING NL,6/30/2016,200.0,Materials,-33.717693836978114
207,DEG,DE GREY MINING LIMITED,6/30/2017,38.0,Materials,71.32015810276684
208,DSX,DECIMAL SOFTWARE LIMITED,6/30/2016,117.0,Software & Services,-26.12950699043415
209,D13,DEPARTMENT 13 INTERNATIONAL LTD,6/30/2017,179.0,Capital Goods,-27.024164184045016
210,DGH,DESANE GROUP HOLDINGS LIMITED,6/30/2016,144.0,Real Estate,47.823255813953494
211,DXS,DEXUS,6/30/2015,49.0,Real Estate,14.550108524811023
212,DGR,DGR GLOBAL LIMITED,6/30/2016,130.0,Materials,170.09098428453274
213,DMC,DIGIMATIC GROUP LIMITED,3/31/2018,57.99999999999999,Software & Services,0.0
214,DXB,DIMERIX LIMITED,6/30/2016,156.0,"Pharmaceuticals, Biotechnology & Life Sciences",1.2226809130645941
215,DCL,DOMACOM LIMITED,6/30/2016,10732.0,Diversified Financials,-50.618834080717484
216,DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED.,6/24/2018,105.0,Software & Services,0.0
217,DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,7/3/2016,32.0,Consumer Services,-18.27976557147709
218,DNA,DONACO INTERNATIONAL LIMITED,6/30/2016,650.0,Consumer Services,-9.37961882535978
219,DRM,DORAY MINERALS LIMITED,6/30/2017,40.0,Materials,8.285714285714286
220,DVL,DORSAVI LTD,6/30/2016,122.0,"Pharmaceuticals, Biotechnology & Life Sciences",-14.095744680851068
221,DOW,DOWNER EDI LIMITED,6/30/2018,66.0,Commercial & Professional Services,0.0
222,DTS,DRAGONTAIL SYSTEMS LIMITED,12/31/2015,71.0,Software & Services,
223,DRK,DRAKE RESOURCES LIMITED,6/30/2015,36.0,Materials,-51.75003755445398
224,DN8,DREAMSCAPE NETWORKS LIMITED,6/30/2018,33.0,Software & Services,0.0
225,DRO,DRONESHIELD LIMITED,12/31/2015,3245.0000000000005,Technology Hardware & Equipment,
226,DSE,DROPSUITE LIMITED,12/31/2015,384.0,Software & Services,62.231231231231206
227,DUB,DUBBER CORPORATION LIMITED,6/30/2016,636.0,Software & Services,-34.615806805708004
228,D2O,DUXTON WATER LIMITED,12/31/2017,225.0,Utilities,7.401403249630721
229,DWS,DWS LIMITED,6/30/2016,54.0,Software & Services,25.236517117398773
230,E2M,E2 METALS LIMITED,6/30/2016,44.0,Materials,
231,EHH,EAGLE HEALTH HOLDINGS LIMITED,12/31/2015,43.0,Household & Personal Products,
232,EER,EAST ENERGY RESOURCES LIMITED,6/30/2016,826.0,Energy,11.490514905149046
233,EAS,EASTON INVESTMENTS LIMITED,6/30/2018,195.0,Diversified Financials,0.0
