Asx Code,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
FTZ,FTZ,FERTOZ LIMITED,6/30/2015,20355.0,Materials,-29.980735551663763
FID,FID,FIDUCIAN GROUP LIMITED,6/30/2016,35.0,Diversified Financials,61.441339620024955
FSG,FSG,FIELD SOLUTIONS HOLDINGS LIMITED,6/30/2016,70.0,Telecommunication Services,-13.979710144927553
FAU,FAU,FIRST AU LIMITED,12/31/2016,6743.000000000001,Materials,3.9875695125940447
FGF,FGF,FIRST GROWTH FUNDS LIMITED,6/30/2016,261.0,Not Applic,-4.95327102803738
FCT,FCT,FIRSTWAVE CLOUD TECHNOLOGY LIMITED,6/30/2016,37.0,Software & Services,-56.19988629903354
FGO,FGO,FLAMINGO AI LIMITED,6/30/2017,196.0,Software & Services,-12.551058299294471
FRX,FRX,FLEXIROAM LIMITED,3/31/2016,70.0,Telecommunication Services,-37.77854671280277
FLK,FLK,FOLKESTONE LIMITED,6/30/2017,263.0,Real Estate,6.675824175824176
FNP,FNP,FREEDOM FOODS GROUP LIMITED,6/30/2016,86.0,"Food, Beverage & Tobacco",6.15305334846765
FIG,FIG,FREEDOM INSURANCE GROUP LTD,6/30/2017,86.0,Insurance,-42.06247442368025
FLN,FLN,FREELANCER LIMITED,12/31/2015,48.0,Software & Services,13.665865745607448
FPL,FPL,FREMONT PETROLEUM CORPORATION LIMITED,6/30/2015,67.0,Energy,-65.11457731561717
FGX,FGX,FUTURE GENERATION INVESTMENT COMPANY LIMITED,12/31/2017,80.0,Not Applic,12.467306015693113
GEM,GEM,G8 EDUCATION LIMITED,12/31/2015,42.0,Consumer Services,0.2783494105037514
GCM,GCM,GARDA CAPITAL GROUP,6/30/2017,31.0,Not Applic,20.946110295659466
GGX,GGX,GAS2GRID LIMITED,6/30/2015,1381.0,Energy,-44.320557491289165
GCY,GCY,GASCOYNE RESOURCES LIMITED,6/30/2015,63.0,Materials,422.0207468879668
GTY,GTY,GATEWAY LIFESTYLE GROUP,6/30/2015,242.0,Real Estate,4.617556123134831
GDI,GDI,GDI PROPERTY GROUP,6/30/2015,41.0,Real Estate,2.0551247118004614
GMD,GMD,GENESIS MINERALS LIMITED,6/30/2016,79.0,Materials,-3.5041322314049594
GES,GES,GENESIS RESOURCES LIMITED,6/30/2016,304.0,Materials,-35.379885814668405
GSS,GSS,GENETIC SIGNATURES LIMITED,6/30/2016,62.0,"Pharmaceuticals, Biotechnology & Life Sciences",-28.337725381414703
GTK,GTK,GENTRACK GROUP LIMITED,9/30/2017,43.0,Software & Services,42.45791245791246
GMA,GMA,GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED,12/31/2015,33.0,Banks,-18.874363597793806
GPR,GPR,GEOPACIFIC RESOURCES LTD,12/31/2017,106.0,Materials,-6.3785046728971935
GSW,GSW,GETSWIFT LIMITED,6/30/2017,212.0,Software & Services,-32.72778245023831
GSC,GSC,GLOBAL GEOSCIENCE LIMITED,6/30/2017,4065.0,Materials,115.22851153039828
GMG,GMG,GOODMAN GROUP,6/30/2016,33.0,Real Estate,16.878049446796883
GOW,GOW,GOWING BROS LIMITED,7/31/2016,65.0,Diversified Financials,0.622828226033174
GRR,GRR,GRANGE RESOURCES LIMITED.,12/31/2016,34.0,Materials,56.61749022396017
GPX,GPX,GRAPHEX MINING LIMITED,6/30/2017,585.0,Materials,-18.505444126074487
GSN,GSN,GREAT SOUTHERN MINING LIMITED,6/30/2016,318.0,Materials,1.858019281332164
GGG,GGG,GREENLAND MINERALS LIMITED,12/31/2017,53.0,Materials,-21.758865248226943
GUL,GUL,GULLEWA LIMITED,6/30/2017,695.0,Materials,57.834146341463395
HHM,HHM,HAMPTON HILL MINING NL,6/30/2015,1241.0,Materials,25.082304526748953
